card_id,anki_note_id,ord
1497484861934,1497484860718,0
1497484861935,1497484860718,1
1497484861936,1497484860719,0
1497484861937,1497484860719,1
1497484861938,1497484860720,0
1497484861939,1497484860720,1
1497484861940,1497484860721,0
1497484861941,1497484860721,1
1497484861942,1497484860722,0
1497484861943,1497484860722,1
1497484861944,1497484860723,0
1497484861945,1497484860723,1
1497484861946,1497484860724,0
1497484861947,1497484860724,1
1497484861948,1497484860725,0
1497484861949,1497484860725,1
1497484861950,1497484860726,0
1497484861951,1497484860726,1
1497484861952,1497484860727,0
1497484861953,1497484860727,1
1497484861954,1497484860728,0
1497484861955,1497484860728,1
1497484861956,1497484860729,0
1497484861957,1497484860729,1
1497484861958,1497484860730,0
1497484861959,1497484860730,1
1497484861960,1497484860731,0
1497484861961,1497484860731,1
1497484861962,1497484860732,0
1497484861963,1497484860732,1
1497484861964,1497484860733,0
1497484861965,1497484860733,1
1497484861966,1497484860734,0
1497484861967,1497484860734,1
1497484861968,1497484860735,0
1497484861969,1497484860735,1
1497484861970,1497484860736,0
1497484861971,1497484860736,1
1497484861972,1497484860737,0
1497484861973,1497484860737,1
1497484861974,1497484860738,0
1497484861975,1497484860738,1
1497484861976,1497484860739,0
1497484861977,1497484860739,1
1497484861978,1497484860740,0
1497484861979,1497484860740,1
1497484861980,1497484860741,0
1497484861981,1497484860741,1
1497484861982,1497484860742,0
1497484861983,1497484860742,1
1497484861984,1497484860743,0
1497484861985,1497484860743,1
1497484861986,1497484860744,0
1497484861987,1497484860744,1
1497484861988,1497484860745,0
1497484861989,1497484860745,1
1497484861990,1497484860746,0
1497484861991,1497484860746,1
1497484861992,1497484860747,0
1497484861993,1497484860747,1
1497484861994,1497484860748,0
1497484861995,1497484860748,1
1497484861996,1497484860749,0
1497484861997,1497484860749,1
1497484861998,1497484860750,0
1497484861999,1497484860750,1
1497484862000,1497484860751,0
1497484862001,1497484860751,1
1497484862002,1497484860752,0
1497484862003,1497484860752,1
1497484862004,1497484860753,0
1497484862005,1497484860753,1
1497484862006,1497484860754,0
1497484862007,1497484860754,1
1497484862008,1497484860755,0
1497484862009,1497484860755,1
1497484862010,1497484860756,0
1497484862011,1497484860756,1
1497484862012,1497484860757,0
1497484862013,1497484860757,1
1497484862014,1497484860758,0
1497484862015,1497484860758,1
1497484862016,1497484860759,0
1497484862017,1497484860759,1
1497484862018,1497484860760,0
1497484862019,1497484860760,1
1497484862020,1497484860761,0
1497484862021,1497484860761,1
1497484862022,1497484860762,0
1497484862023,1497484860762,1
1497484862024,1497484860763,0
1497484862025,1497484860763,1
1497484862026,1497484860764,0
1497484862027,1497484860764,1
1497484862028,1497484860765,0
1497484862029,1497484860765,1
1497484862030,1497484860766,0
1497484862031,1497484860766,1
1497484862032,1497484860767,0
1497484862033,1497484860767,1
1497484862034,1497484860768,0
1497484862035,1497484860768,1
1497484862036,1497484860769,0
1497484862037,1497484860769,1
1497484862038,1497484860770,0
1497484862039,1497484860770,1
1497484862040,1497484860771,0
1497484862041,1497484860771,1
1497484862042,1497484860772,0
1497484862043,1497484860772,1
1497484862044,1497484860773,0
1497484862045,1497484860773,1
1497484862046,1497484860774,0
1497484862047,1497484860774,1
1497484862048,1497484860775,0
1497484862049,1497484860775,1
1497484862050,1497484860776,0
1497484862051,1497484860776,1
1497484862052,1497484860777,0
1497484862053,1497484860777,1
1497484862054,1497484860778,0
1497484862055,1497484860778,1
1497484862056,1497484860779,0
1497484862057,1497484860779,1
1497484862058,1497484860780,0
1497484862059,1497484860780,1
1497484862060,1497484860781,0
1497484862061,1497484860781,1
1497484862062,1497484860782,0
1497484862063,1497484860782,1
1497484862064,1497484860783,0
1497484862065,1497484860783,1
1497484862066,1497484860784,0
1497484862067,1497484860784,1
1497484862068,1497484860785,0
1497484862069,1497484860785,1
1497484862070,1497484860786,0
1497484862071,1497484860786,1
1497484862072,1497484860787,0
1497484862073,1497484860787,1
1497484862074,1497484860788,0
1497484862075,1497484860788,1
1497484862076,1497484860789,0
1497484862077,1497484860789,1
1497484862078,1497484860790,0
1497484862079,1497484860790,1
1497484862080,1497484860791,0
1497484862081,1497484860791,1
1497484862082,1497484860792,0
1497484862083,1497484860792,1
1497484862084,1497484860793,0
