anki_note_id,field_note_id,guid,mod
1497484860718,ab,"ifK.8I+,34",1499086121
1497484860719,aber,o|T{61NDbj,1499086121
1497484860720,anbieten,smJBqsiTg4,1499086121
1497484860721,Angebot,rq_!i.(e<N,1499086121
1497484860722,anderen,f=6F:J@2d),1499086121
1497484860723,abgeben,O&Z!e?KutQ,1499086121
1497484860724,anders,LE]LwXA<0P,1499086121
1497484860725,ändern,Niy>YOM*%N,1499086121
1497484860726,abholen,uH=O[QTG^(,1499086121
1497484860727,abschließen,Hhv4nwuKR[,1499086121
1497484860728,Achtung,sHvtQ*b^Ff,1499086121
1497484860729,Adresse,"jh()~|v,gH",1499086121
1497484860730,anfangen,r@G[8<YV|T,1499086121
1497484860731,Anfang,y0siv.~Xvd,1499086121
1497484860732,Angst,iKm?.H`kW<,1499086121
1497484860733,ankommen,s4xr#%Iecl,1499086121
1497484860734,Ahnung,t(&Fy<(VLg,1499086121
1497484860735,aktiv,"ylE$,g43h2",1499086121
1497484860736,aktuell,r5GE~!<G@0,1499086121
1497484860737,alles,k@&wg)`d1H,1499086121
1497484860738,alle,"Em!~/@,V72",1499086121
1497484860739,anmachen,Q~m.$6D3R&,1499086121
1497484860740,Ankunft,"y9u,l&:y3h",1499086121
1497484860741,sich anmelden,"t6{mt|,kl|",1499086121
1497484860742,Anmeldung,AW5B<tcG@%,1499086121
1497484860743,Anrufbeantworter,yqT8FWrKWF,1499086121
1497484860744,anrufen,inXpwPWMKo,1499086121
1497484860745,Anruf,fpm5.15`Dj,1499086121
1497484860746,allein,Q<#hf1Wmn0,1499086121
1497484860747,als,D]68UnS!VB,1499086122
1497484860748,also,"Qn2d.n,Oko",1499086122
1497484860749,Anschluss,jz3/SPOwZe,1499086122
1497484860750,ansehen,y$~eu}#Uc^,1499086122
1497484860751,antworten,JX(syjo6rr,1499086122
1497484860752,Antwort,"u;,.7S]IG>",1499086122
1497484860753,alt,zXeRFs(u8N,1499086122
1497484860754,Alter,k3gR`VdwZ:,1499086122
1497484860755,Ampel,h`|.W7S~BT,1499086122
1497484860756,an,b(5A~QDN*`,1499086122
1497484860757,Anzeige,"Y&dFqt=T,",1499086122
1497484860758,Anzug,"f,E&?oj^U1",1499086122
1497484860759,Apfel,b*Z2-C6[LV,1499086122
1497484860760,Apotheke,"eO,v@DEiWl",1499086122
1497484860761,Apparat,zZj.UHu@4m,1499086122
1497484860762,aus,Em-QD=`Yb<,1499086122
